,Subject,Course,Year,#_Stu_Enrolled,#_Stu_Responses,AvgHrsPerWk,AvgPriorInt,AvgInstrEffect,AvgAvailability,AvgChallenge,AvgLearned,AvgInstrRespect,AvgCourse,AvgInstructor,Std_Dev_Course,Std_Dev_Instr
2919,GEOG,4241,2014.2222222222222,19.22222222222222,16.0,2.6333333333333333,4.516666666666667,4.938888888888888,5.372222222222223,4.8999999999999995,5.022222222222222,5.938888888888889,4.983333333333333,5.2333333333333325,0.9833333333333333,0.8333333333333334
2920,GEOG,4251,2014.5,13.0,10.75,2.35,4.75,4.6499999999999995,5.075,4.3,4.7250000000000005,5.875000000000001,4.8500000000000005,4.825,0.7999999999999999,0.85
2921,GEOG,4261,2017.0,15.0,12.0,2.2,4.555,5.470000000000001,5.800000000000001,4.619999999999999,5.32,5.9,5.08,5.615,0.755,0.775
2922,GEOG,4271,2014.111111111111,20.333333333333332,15.666666666666666,2.5555555555555554,4.833333333333333,5.500000000000001,5.511111111111112,4.711111111111112,5.277777777777778,5.933333333333334,5.344444444444445,5.655555555555555,0.711111111111111,0.5
2923,GEOG,4292,2014.2,21.0,16.2,3.2399999999999998,4.4799999999999995,4.94,5.4799999999999995,4.94,5.0200000000000005,5.96,4.7,5.1,1.1400000000000001,1.1800000000000002
2924,GEOG,4303,2015.0,15.625,12.791666666666666,4.01,5.1362499999999995,5.341666666666665,5.5,5.53875,5.41125,5.940416666666668,5.307083333333334,5.56375,0.8375,0.6787500000000001
2925,GEOG,4311,2016.0,11.0,10.0,2.75,5.25,5.5,5.1,5.05,5.6,6.0,5.5,5.6,0.9,0.85
2926,GEOG,4321,2014.8636363636363,26.09090909090909,20.045454545454547,2.481363636363637,5.004090909090909,5.0681818181818175,5.1899999999999995,4.635454545454545,5.007727272727273,5.878181818181818,5.010454545454546,5.247727272727272,0.9763636363636364,0.8736363636363635
2927,GEOG,4371,2013.4444444444443,33.77777777777778,25.555555555555557,2.5444444444444443,4.5,4.688888888888888,5.277777777777777,4.711111111111112,4.866666666666668,5.811111111111112,4.744444444444444,4.933333333333334,1.1,1.1555555555555557
2928,GEOG,4401,2015.0,12.5,7.5,2.2,4.1,4.3,5.4,4.65,4.55,5.95,4.4,4.85,1.2,0.9
2929,GEOG,4430,2010.0,18.0,10.0,2.9,4.6,4.8,5.5,5.2,5.4,6.0,5.3,5.4,0.8,0.7
2930,GEOG,4463,2018.0,9.0,4.0,5.75,5.0,6.0,6.0,3.5,4.0,6.0,5.5,5.75,0.58,0.5
2931,GEOG,4501,2014.6,23.15,11.125,2.717948717948718,4.60025,4.734500000000001,4.992749999999999,4.540750000000001,5.12475,5.8075,5.045249999999999,5.018750000000001,0.8613157894736839,0.9692105263157894
2932,GEOG,4503,2018.5,16.0,10.5,2.585,4.595000000000001,4.425,4.74,3.825,3.5,5.515000000000001,3.9299999999999997,4.824999999999999,1.295,1.37
2933,GEOG,4563,2017.2,11.6,7.2,3.54,4.7,5.0600000000000005,5.08,4.9399999999999995,5.0200000000000005,5.84,4.74,4.96,1.6,1.48
2934,GEOG,4603,2018.0,25.0,12.0,5.25,3.42,5.08,5.635,4.17,5.08,5.6899999999999995,5.0,5.29,0.74,1.225
2935,GEOG,4632,2012.25,33.0,19.5,3.625,4.7,4.9,5.15,5.4,5.0,5.8500000000000005,4.575,4.95,1.25,1.0750000000000002
